date,unit_code,channel
20211202,2a,2
20211202,4a,4
20211202,6a,6
20211202,7d,7
20211202,8d,8
20211202,10a,10
20211202,11a,11
20211202,13a,13
20211202,14a,14
20211202,16a,16
20211202,17d,17
20211202,18a,18
20211202,20a,20
20211202,22a,22
20211202,24a,24
20211202,25a,25
20211202,26a,26
20211202,28a,28
20211202,30a,30
20211202,30b,30
20211202,32a,32
20211202,33a,33
20211202,34a,34
20211202,35a,35
20211202,36a,36
20211202,37a,37
20211202,38a,38
20211202,39a,39
20211202,39b,39
20211202,41a,41
20211202,42a,42
20211202,42b,42
20211202,43a,43
20211202,46a,46
20211202,47a,47
20211202,47b,47
20211202,48a,48
20211202,49a,49
20211202,51a,51
20211202,52a,52
20211202,53a,53
20211202,55a,55
20211202,57a,57
20211202,59a,59
20211202,61a,61
20211202,63a,63
20211205,2a,2
20211205,3d,3
20211205,4a,4
20211205,6a,6
20211205,14a,14
20211205,16a,16
20211205,17a,17
20211205,18a,18
20211205,22a,22
20211205,24a,24
20211205,25a,25
20211205,26a,26
20211205,28a,28
20211205,29a,29
20211205,30a,30
20211205,30b,30
20211205,32a,32
20211205,32b,32
20211205,32c,32
20211205,33a,33
20211205,34a,34
20211205,35a,35
20211205,36a,36
20211205,37a,37
20211205,38a,38
20211205,39a,39
20211205,39b,39
20211205,41a,41
20211205,42a,42
20211205,43a,43
20211205,44a,44
20211205,45a,45
20211205,46a,46
20211205,47a,47
20211205,48a,48
20211205,49a,49
20211205,51a,51
20211205,52a,52
20211205,53a,53
20211205,55a,55
20211205,57a,57
20211205,59a,59
20211205,61a,61
20211205,63a,63
20211210,2a,2
20211210,3a,3
20211210,4a,4
20211210,6a,6
20211210,8a,8
20211210,10a,10
20211210,11a,11
20211210,12a,12
20211210,13a,13
20211210,14a,14
20211210,16a,16
20211210,17d,17
20211210,18a,18
20211210,20a,20
20211210,22a,22
20211210,24a,24
20211210,25a,25
20211210,26a,26
20211210,28a,28
20211210,29a,29
20211210,30a,30
20211210,30b,30
20211210,31a,31
20211210,32a,32
20211210,32b,32
20211210,32c,32
20211210,33a,33
20211210,34a,34
20211210,35a,35
20211210,36a,36
20211210,37a,37
20211210,38a,38
20211210,39a,39
20211210,39b,39
20211210,40a,40
20211210,41a,41
20211210,42a,42
20211210,43a,43
20211210,43b,43
20211210,44a,44
20211210,45a,45
20211210,46a,46
20211210,47a,47
20211210,48a,48
20211210,49a,49
20211210,50a,50
20211210,51a,51
20211210,52a,52
20211210,53a,53
20211210,55a,55
20211210,55b,55
20211210,55c,55
20211210,57a,57
20211210,57b,57
20211210,59a,59
20211210,59b,59
20211210,61a,61
20211210,63a,63
20211216,2a,2
20211216,3a,3
20211216,4a,4
20211216,5a,5
20211216,6a,6
20211216,7a,7
20211216,8a,8
20211216,9a,9
20211216,10a,10
20211216,11a,11
20211216,12a,12
20211216,14a,14
20211216,16a,16
20211216,17d,17
20211216,18a,18
20211216,20a,20
20211216,22a,22
20211216,24a,24
20211216,25a,25
20211216,27a,27
20211216,28a,28
20211216,29a,29
20211216,30a,30
20211216,30b,30
20211216,30c,30
20211216,31a,31
20211216,32a,32
20211216,32b,32
20211216,32c,32
20211216,32d,32
20211216,257a,33
20211216,258a,34
20211216,259a,35
20211216,260a,36
20211216,261a,37
20211216,262a,38
20211216,263a,39
20211216,263b,39
20211216,264a,40
20211216,265a,41
20211216,266a,42
20211216,267a,43
20211216,267b,43
20211216,268a,44
20211216,269a,45
20211216,269b,45
20211216,270a,46
20211216,271a,47
20211216,271b,47
20211216,272a,48
20211216,273a,49
20211216,274a,50
20211216,275a,51
20211216,276a,52
20211216,277a,53
20211216,277b,53
20211216,279a,55
20211216,279b,55
20211216,280a,56
20211216,281a,57
20211216,283a,59
20211216,285a,61
20211216,287a,63
20211216,288d,64
20211217,2a,2
20211217,4a,4
20211217,5a,5
20211217,6a,6
20211217,8a,8
20211217,9a,9
20211217,10a,10
20211217,11a,11
20211217,12a,12
20211217,14a,14
20211217,16a,16
20211217,17d,17
20211217,20a,20
20211217,21a,21
20211217,22a,22
20211217,24a,24
20211217,25a,25
20211217,26a,26
20211217,27a,27
20211217,28a,28
20211217,30a,30
20211217,30b,30
20211217,30c,30
20211217,31a,31
20211217,32a,32
20211217,32b,32
20211217,32c,32
20211217,32d,32
20211217,257a,33
20211217,258a,34
20211217,259a,35
20211217,260a,36
20211217,261a,37
20211217,261b,37
20211217,262a,38
20211217,263a,39
20211217,263b,39
20211217,264a,40
20211217,265a,41
20211217,267a,43
20211217,267b,43
20211217,268a,44
20211217,269a,45
20211217,269b,45
20211217,270a,46
20211217,271a,47
20211217,271b,47
20211217,272a,48
20211217,273a,49
20211217,274a,50
20211217,275a,51
20211217,276a,52
20211217,277a,53
20211217,277b,53
20211217,279a,55
20211217,279b,55
20211217,281a,57
20211217,283a,59
20211217,285a,61
20211217,287a,63
20211217,288d,64
20211223,2a,2
20211223,5d,5
20211223,6a,6
20211223,7d,7
20211223,8a,8
20211223,10a,10
20211223,12a,12
20211223,12b,12
20211223,13a,13
20211223,14a,14
20211223,16a,16
20211223,17d,17
20211223,18a,18
20211223,20a,20
20211223,21a,21
20211223,23a,23
20211223,24a,24
20211223,25a,25
20211223,26a,26
20211223,28a,28
20211223,30a,30
