date,unit_code,channel
20220315,3a,3
20220315,4a,4
20220315,5a,5
20220315,7a,7
20220315,7b,7
20220315,8a,8
20220315,9a,9
20220315,9b,9
20220315,10a,10
20220315,11a,11
20220315,12a,12
20220315,12b,12
20220315,14a,14
20220315,23a,23
20220315,23b,23
20220315,24a,24
20220315,25b,25
20220315,26a,26
20220315,26b,26
20220315,26c,26
20220315,27a,27
20220315,28b,28
20220315,28c,28
20220315,29a,29
20220315,30a,30
20220315,30b,30
20220315,31a,31
20220315,32a,32
20220315,32b,32
20220315,39a,39
20220315,40a,40
20220315,41a,41
20220315,42a,42
20220315,44a,44
20220315,45a,45
20220315,46a,46
20220315,47a,47
20220315,47b,47
20220315,48a,48
20220315,57a,57
20220315,58a,58
20220315,59a,59
20220315,60a,60
20220315,61a,61
20220315,61b,61
20220315,62a,62
20220315,62b,62
20220315,62c,62
20220315,63a,63
20220315,63b,63
20220315,64a,64
20220315,73a,73
20220315,74a,74
20220315,75a,75
20220315,75b,75
20220315,76a,76
20220315,77a,77
20220315,77b,77
20220315,78a,78
20220315,79a,79
20220315,80a,80
20220315,80b,80
20220315,87a,87
20220315,89a,89
20220315,89b,89
20220315,90a,90
20220315,90b,90
20220315,91a,91
20220315,92a,92
20220315,93a,93
20220315,94a,94
20220315,94b,94
20220315,96a,96
20220315,97a,97
20220315,98a,98
20220315,100a,100
20220315,105a,105
20220315,106a,106
20220315,107a,107
20220315,108a,108
20220315,109a,109
20220315,110a,110
20220315,110b,110
20220315,111a,111
20220315,112a,112
20220315,112b,112
20220315,112c,112
20220315,113a,113
20220315,113b,113
20220315,114a,114
20220315,114b,114
20220315,116a,116
20220315,121a,121
20220315,122a,122
20220315,123a,123
20220315,124a,124
20220315,125a,125
20220315,125b,125
20220315,126a,126
20220315,126b,126
20220315,127a,127
20220315,127b,127
20220315,127c,127
20220315,128a,128
20220315,128b,128
20220316,3a,3
20220316,5a,5
20220316,7a,7
20220316,8a,8
20220316,9a,9
20220316,9b,9
20220316,10a,10
20220316,11a,11
20220316,12a,12
20220316,12b,12
20220316,12c,12
20220316,14a,14
20220316,23a,23
20220316,24a,24
20220316,25a,25
20220316,26a,26
20220316,26b,26
20220316,26c,26
20220316,27a,27
20220316,27b,27
20220316,28a,28
20220316,29a,29
20220316,30a,30
20220316,30b,30
20220316,31a,31
20220316,32a,32
20220316,32b,32
20220316,45a,45
20220316,47a,47
20220316,47b,47
20220316,48a,48
20220316,62a,62
20220316,62b,62
20220316,63a,63
20220316,63b,63
20220316,64a,64
20220316,73a,73
20220316,74a,74
20220316,75a,75
20220316,75b,75
20220316,76a,76
20220316,77a,77
20220316,78a,78
20220316,78b,78
20220316,79a,79
20220316,80a,80
20220316,80b,80
20220316,87a,87
20220316,89a,89
20220316,89b,89
20220316,90a,90
20220316,90b,90
20220316,91a,91
20220316,91b,91
20220316,92a,92
20220316,93a,93
20220316,94a,94
20220316,94b,94
20220316,95a,95
20220316,96a,96
20220316,97a,97
20220316,98a,98
20220316,100a,100
20220316,105a,105
20220316,106a,106
20220316,107a,107
20220316,108a,108
20220316,109a,109
20220316,109b,109
20220316,110a,110
20220316,111a,111
20220316,111b,111
20220316,112a,112
20220316,112b,112
20220316,112c,112
20220316,113a,113
20220316,114a,114
20220316,116a,116
20220316,121a,121
20220316,122a,122
20220316,123a,123
20220316,123b,123
20220316,124a,124
20220316,125a,125
20220316,126a,126
20220316,127b,127
20220316,127c,127
20220316,128a,128
20220318,3a,3
20220318,5a,5
20220318,7a,7
20220318,8a,8
20220318,9a,9
20220318,10a,10
20220318,10b,10
20220318,11a,11
20220318,12a,12
20220318,12b,12
20220318,12c,12
20220318,14a,14
20220318,14b,14
20220318,23a,23
20220318,24a,24
20220318,24b,24
20220318,25a,25
20220318,26a,26
20220318,26b,26
20220318,27a,27
20220318,27b,27
20220318,27c,27
20220318,28a,28
20220318,29a,29
20220318,30a,30
20220318,30b,30
20220318,30c,30
20220318,31a,31
20220318,32a,32
20220318,32b,32
20220318,39a,39
20220318,44a,44
20220318,45a,45
20220318,46a,46
20220318,47a,47
20220318,47b,47
20220318,48a,48
20220318,58a,58
20220318,59a,59
20220318,60a,60
20220318,60b,60
20220318,61a,61
20220318,62a,62
20220318,62b,62
20220318,62c,62
20220318,63a,63
20220318,63b,63
20220318,64a,64
20220318,73a,73
20220318,74a,74
20220318,75a,75
20220318,75b,75
20220318,76a,76
20220318,77a,77
20220318,78a,78
20220318,78b,78
20220318,79a,79
20220318,80a,80
20220318,87a,87
20220318,89a,89
20220318,89b,89
20220318,90a,90
20220318,90b,90
20220318,91a,91
20220318,91b,91
20220318,92a,92
20220318,92b,92
20220318,93a,93
20220318,94a,94
20220318,94b,94
20220318,96a,96
20220318,96b,96
20220318,96c,96
20220318,98a,98
20220318,98b,98
20220318,100a,100
20220318,100b,100
20220318,105a,105
20220318,105b,105
20220318,106a,106
20220318,106b,106
20220318,107a,107
20220318,108a,108
20220318,108b,108
20220318,109a,109
20220318,109b,109
20220318,110a,110
20220318,111a,111
20220318,112a,112
20220318,112b,112
20220318,114a,114
20220318,114b,114
20220318,116a,116
20220318,121a,121
20220318,122a,122
20220318,123a,123
20220318,123b,123
20220318,124a,124
20220318,125a,125
20220318,125b,125
20220318,126a,126
20220318,126b,126
20220318,127a,127
20220318,127b,127
20220318,128a,128
20220319,3a,3
20220319,5a,5
20220319,7a,7
20220319,8a,8
20220319,9a,9
20220319,10a,10
20220319,10b,10
20220319,11a,11
20220319,12a,12
20220319,14a,14
20220319,16a,16
20220319,16b,16
20220319,23a,23
20220319,24a,24
20220319,24b,24
20220319,25a,25
20220319,26a,26
20220319,26b,26
20220319,27a,27
20220319,27b,27
20220319,27c,27
20220319,28a,28
20220319,29a,29
20220319,29b,29
20220319,30a,30
20220319,30b,30
20220319,30c,30
20220319,32a,32
20220319,32b,32
20220319,33a,33
20220319,34a,34
20220319,35a,35
20220319,36a,36
20220319,37a,37
20220319,38a,38
20220319,39a,39
20220319,39b,39
20220319,40a,40
20220319,41a,41
20220319,42a,42
20220319,43a,43
20220319,44a,44
20220319,44b,44
20220319,45a,45
20220319,45b,45
20220319,46a,46
20220319,47a,47
20220319,47b,47
20220319,48a,48
20220319,49a,49
20220319,50a,50
20220319,51a,51
20220319,52a,52
20220319,53a,53
20220319,54a,54
20220319,55a,55
20220319,56a,56
20220319,57a,57
20220319,58a,58
20220319,59a,59
20220319,60a,60
20220319,60b,60
20220319,61a,61
20220319,62a,62
20220319,62b,62
20220319,62c,62
20220319,63a,63
20220319,63b,63
20220319,64a,64
20220319,71a,71
20220319,73a,73
20220319,74a,74
20220319,74b,74
20220319,75a,75
20220319,75b,75
20220319,76a,76
20220319,76b,76
20220319,77a,77
20220319,78a,78
20220319,78b,78
20220319,79a,79
20220319,80a,80
20220319,87a,87
20220319,89a,89
20220319,89b,89
20220319,90a,90
20220319,90b,90
20220319,91a,91
20220319,91b,91
20220319,92a,92
20220319,93a,93
20220319,93b,93
20220319,94a,94
20220319,94b,94
20220319,95a,95
20220319,96a,96
20220319,97a,97
20220319,98a,98
20220319,100a,100
20220319,105a,105
20220319,106a,106
20220319,106b,106
20220319,107a,107
20220319,108a,108
20220319,109a,109
20220319,109b,109
20220319,110a,110
20220319,110b,110
20220319,111a,111
20220319,112a,112
20220319,112b,112
20220319,114a,114
20220319,116a,116
20220319,121a,121
20220319,122a,122
20220319,123a,123
20220319,123b,123
20220319,124a,124
20220319,125a,125
20220319,125b,125
20220319,126a,126
20220319,126b,126
20220319,127a,127
20220319,128a,128
20220321,3a,3
20220321,5a,5
20220321,8a,8
20220321,9a,9
20220321,10a,10
20220321,10b,10
20220321,10c,10
20220321,11a,11
20220321,12a,12
20220321,14a,14
20220321,23a,23
20220321,24a,24
20220321,25a,25
20220321,25b,25
20220321,26a,26
20220321,26b,26
20220321,27a,27
20220321,27b,27
20220321,27c,27
20220321,28a,28
20220321,29a,29
20220321,30a,30
20220321,30b,30
20220321,32a,32
20220321,32b,32
20220321,33a,33
20220321,34a,34
20220321,35a,35
20220321,36a,36
20220321,37a,37
20220321,38a,38
20220321,39a,39
20220321,40a,40
20220321,41a,41
20220321,42a,42
20220321,43a,43
20220321,44a,44
20220321,44b,44
20220321,45a,45
20220321,45b,45
20220321,46a,46
20220321,47a,47
20220321,48a,48
20220321,48b,48
20220321,49a,49
20220321,50a,50
20220321,51a,51
20220321,52a,52
20220321,53a,53
20220321,54a,54
20220321,55a,55
20220321,57a,57
20220321,58a,58
20220321,59a,59
20220321,60a,60
20220321,61a,61
20220321,61b,61
20220321,62a,62
20220321,62b,62
20220321,62c,62
20220321,63a,63
20220321,63b,63
20220321,63c,63
20220321,64a,64
20220321,71a,71
20220321,74a,74
20220321,75a,75
20220321,75b,75
20220321,76a,76
20220321,76b,76
20220321,77a,77
20220321,78a,78
20220321,78b,78
20220321,79a,79
20220321,79b,79
20220321,80a,80
20220321,80b,80
20220321,87a,87
20220321,89a,89
20220321,89b,89
20220321,90a,90
20220321,91a,91
20220321,91b,91
20220321,91c,91
20220321,92a,92
20220321,92b,92
20220321,93a,93
20220321,93b,93
20220321,94a,94
20220321,94b,94
20220321,95a,95
20220321,96a,96
20220321,100a,100
20220321,105a,105
20220321,106a,106
20220321,107a,107
20220321,107b,107
20220321,107c,107
20220321,109a,109
20220321,109b,109
20220321,110a,110
20220321,111a,111
20220321,111b,111
20220321,111c,111
20220321,112a,112
20220321,112b,112
20220321,113a,113
20220321,114a,114
20220321,116a,116
20220321,121a,121
20220321,121b,121
20220321,122a,122
20220321,123a,123
20220321,124a,124
20220321,125a,125
20220321,126a,126
20220321,127a,127
20220321,128a,128
20220324,3a,3
20220324,5a,5
20220324,5b,5
20220324,7a,7
20220324,8a,8
20220324,9a,9
20220324,10a,10
20220324,10b,10
20220324,10c,10
20220324,11a,11
20220324,12a,12
20220324,14a,14
20220324,16a,16
20220324,21a,21
20220324,23a,23
20220324,23b,23
20220324,25a,25
20220324,26a,26
20220324,27a,27
20220324,27b,27
20220324,28a,28
20220324,28b,28
20220324,29a,29
20220324,30a,30
20220324,30b,30
20220324,30c,30
20220324,32a,32
20220324,32b,32
20220324,33a,33
20220324,34a,34
20220324,35a,35
20220324,36a,36
20220324,37a,37
20220324,38a,38
20220324,39a,39
20220324,40a,40
20220324,41a,41
20220324,42a,42
20220324,43a,43
20220324,44a,44
20220324,44b,44
20220324,45a,45
20220324,46a,46
20220324,46b,46
20220324,47a,47
20220324,47b,47
20220324,48a,48
20220324,48b,48
20220324,49a,49
20220324,50a,50
20220324,51a,51
20220324,52a,52
20220324,53a,53
20220324,54a,54
20220324,55a,55
20220324,56a,56
20220324,57a,57
20220324,58a,58
20220324,59a,59
20220324,60a,60
20220324,61a,61
20220324,62a,62
20220324,62b,62
20220324,63a,63
20220324,63b,63
20220324,63c,63
20220324,64a,64
20220324,71a,71
20220324,72a,72
20220324,74a,74
20220324,74b,74
20220324,75a,75
20220324,75b,75
20220324,76a,76
20220324,76b,76
20220324,77a,77
20220324,77b,77
20220324,78a,78
20220324,78b,78
20220324,78c,78
20220324,79a,79
20220324,79b,79
20220324,80a,80
20220324,87a,87
20220324,89a,89
20220324,90a,90
20220324,90b,90
20220324,91a,91
20220324,91b,91
20220324,92a,92
20220324,92b,92
20220324,93a,93
20220324,94a,94
20220324,94b,94
20220324,95a,95
20220324,95b,95
20220324,98a,98
20220324,100a,100
20220324,103a,103
20220324,105a,105
20220324,106a,106
20220324,106b,106
20220324,107a,107
20220324,108a,108
20220324,109a,109
20220324,109b,109
20220324,110a,110
20220324,111a,111
20220324,111b,111
20220324,112a,112
20220324,113a,113
20220324,113b,113
20220324,114a,114
20220324,116a,116
20220324,121a,121
20220324,122a,122
20220324,123a,123
20220324,123b,123
20220324,124a,124
20220324,125a,125
20220324,126a,126
20220324,127a,127
20220324,128a,128
20220328,3a,3
20220328,5a,5
20220328,7a,7
20220328,8a,8
20220328,9a,9
20220328,9b,9
20220328,10a,10
20220328,10b,10
20220328,11a,11
20220328,12a,12
20220328,12b,12
20220328,12c,12
20220328,14a,14
20220328,14b,14
20220328,16a,16
20220328,23a,23
20220328,23b,23
20220328,25a,25
20220328,26a,26
20220328,26b,26
20220328,27a,27
20220328,28a,28
20220328,28b,28
20220328,29a,29
20220328,29b,29
20220328,30a,30
20220328,30b,30
20220328,31a,31
20220328,32a,32
20220328,34a,34
20220328,39a,39
20220328,41a,41
20220328,41b,41
20220328,41c,41
20220328,42a,42
20220328,43a,43
20220328,44a,44
20220328,45a,45
20220328,45b,45
20220328,47a,47
20220328,47b,47
20220328,48a,48
20220328,48b,48
20220328,49a,49
20220328,56a,56
20220328,57a,57
20220328,58a,58
20220328,60a,60
20220328,60b,60
20220328,61a,61
20220328,62a,62
20220328,62b,62
20220328,63a,63
20220328,63b,63
20220328,63c,63
20220328,64a,64
20220328,64b,64
20220328,71a,71
20220328,72a,72
20220328,75a,75
20220328,76a,76
20220328,76b,76
20220328,77a,77
20220328,78a,78
20220328,79a,79
20220328,80a,80
20220328,87a,87
20220328,90a,90
20220328,90b,90
20220328,91a,91
20220328,92a,92
20220328,93a,93
20220328,94a,94
20220328,94b,94
20220328,98a,98
20220328,100a,100
20220328,103a,103
20220328,105a,105
20220328,106a,106
20220328,107a,107
20220328,108a,108
20220328,109a,109
20220328,109b,109
20220328,110a,110
20220328,110b,110
20220328,111a,111
20220328,111b,111
20220328,112a,112
20220328,112b,112
20220328,113a,113
20220328,114a,114
20220328,116a,116
20220328,121a,121
20220328,122a,122
20220328,123a,123
20220328,124a,124
20220328,124b,124
20220328,125a,125
20220328,126a,126
20220328,127a,127
20220328,128a,128
20220328,128b,128
20220331,3a,3
20220331,5a,5
20220331,7a,7
20220331,8a,8
20220331,8b,8
20220331,8c,8
20220331,9a,9
20220331,10a,10
20220331,11a,11
20220331,12a,12
20220331,12b,12
20220331,14a,14
20220331,23a,23
20220331,23b,23
20220331,24a,24
20220331,25a,25
20220331,25b,25
20220331,26a,26
20220331,27a,27
20220331,28a,28
20220331,29a,29
20220331,29b,29
20220331,30a,30
20220331,30b,30
20220331,32a,32
20220331,33a,33
20220331,34a,34
20220331,35a,35
20220331,36a,36
20220331,37a,37
20220331,38a,38
20220331,39a,39
20220331,41a,41
20220331,42a,42
20220331,43a,43
20220331,44a,44
20220331,45a,45
20220331,45b,45
20220331,47a,47
20220331,47b,47
20220331,48a,48
20220331,48b,48
20220331,49a,49
20220331,52a,52
20220331,54a,54
20220331,55a,55
